項目名,説明
hailo_ts1_temp_c_p99,Hailo温度センサー1の99パーセンタイル
hailo_telemetry_measurement_count,Hailoテレメトリを取得した回数
stage_capture_ms_mean,カメラ取得時間の平均
stage_capture_ms_std,カメラ取得時間の標準偏差
stage_capture_ms_min,カメラ取得時間の最小値
stage_capture_ms_max,カメラ取得時間の最大値
stage_capture_ms_p50,カメラ取得時間の中央値
stage_capture_ms_p95,カメラ取得時間の95パーセンタイル
stage_capture_ms_p99,カメラ取得時間の99パーセンタイル
stage_hailo_run_ms_mean,Hailo実行時間の平均
stage_hailo_run_ms_std,Hailo実行時間の標準偏差
stage_hailo_run_ms_min,Hailo実行時間の最小値
stage_hailo_run_ms_max,Hailo実行時間の最大値
stage_hailo_run_ms_p50,Hailo実行時間の中央値
stage_hailo_run_ms_p95,Hailo実行時間の95パーセンタイル
stage_hailo_run_ms_p99,Hailo実行時間の99パーセンタイル
stage_infer_total_ms_mean,推論処理全体時間の平均
stage_infer_total_ms_std,推論処理全体時間の標準偏差
stage_infer_total_ms_min,推論処理全体時間の最小値
stage_infer_total_ms_max,推論処理全体時間の最大値
stage_infer_total_ms_p50,推論処理全体時間の中央値
stage_infer_total_ms_p95,推論処理全体時間の95パーセンタイル
stage_infer_total_ms_p99,推論処理全体時間の99パーセンタイル
stage_parse_ms_mean,検出結果後処理時間の平均
stage_parse_ms_std,検出結果後処理時間の標準偏差
stage_parse_ms_min,検出結果後処理時間の最小値
stage_parse_ms_max,検出結果後処理時間の最大値
stage_parse_ms_p50,検出結果後処理時間の中央値
stage_parse_ms_p95,検出結果後処理時間の95パーセンタイル
stage_parse_ms_p99,検出結果後処理時間の99パーセンタイル
stage_resize_ms_mean,リサイズ処理時間の平均
stage_resize_ms_std,リサイズ処理時間の標準偏差
stage_resize_ms_min,リサイズ処理時間の最小値
stage_resize_ms_max,リサイズ処理時間の最大値
stage_resize_ms_p50,リサイズ処理時間の中央値
stage_resize_ms_p95,リサイズ処理時間の95パーセンタイル
stage_resize_ms_p99,リサイズ処理時間の99パーセンタイル
stage_total_frame_ms_mean,1フレーム全体処理時間の平均
stage_total_frame_ms_std,1フレーム全体処理時間の標準偏差
stage_total_frame_ms_min,1フレーム全体処理時間の最小値
stage_total_frame_ms_max,1フレーム全体処理時間の最大値
stage_total_frame_ms_p50,1フレーム全体処理時間の中央値
stage_total_frame_ms_p95,1フレーム全体処理時間の95パーセンタイル
stage_total_frame_ms_p99,1フレーム全体処理時間の99パーセンタイル
stage_profile_measurement_count,区間別処理時間を記録した回数
